chrom	start	end
chr17	0	380000
chr17	390000	720000
chr17	730000	990000
chr17	1000000	1520000
chr17	1530000	1650000
chr17	1660000	1890000
chr17	1900000	2050000
chr17	2060000	2310000
chr17	2320000	2690000
chr17	2700000	3040000
chr17	3050000	3430000
chr17	3440000	3670000
chr17	3680000	3840000
chr17	3850000	4190000
chr17	4200000	4410000
chr17	4420000	4540000
chr17	4550000	4700000
chr17	4710000	4900000
chr17	4910000	5190000
chr17	5200000	5470000
chr17	5480000	5780000
chr17	5790000	6060000
chr17	6070000	6270000
chr17	6280000	6430000
chr17	6440000	6650000
chr17	6660000	7020000
chr17	7030000	7190000
chr17	7200000	7570000
chr17	7580000	7720000
chr17	7730000	8060000
chr17	8070000	8380000
chr17	8390000	8780000
chr17	8790000	8990000
chr17	9000000	9290000
chr17	9300000	9550000
chr17	9560000	9710000
chr17	9720000	9910000
chr17	9920000	10270000
chr17	10280000	10620000
chr17	10630000	10870000
chr17	10880000	11610000
chr17	11620000	11990000
chr17	12000000	12150000
chr17	12160000	12750000
chr17	12760000	13020000
chr17	13030000	13320000
chr17	13330000	13590000
chr17	13600000	14280000
chr17	14290000	14810000
chr17	14820000	15230000
chr17	15240000	15530000
chr17	15540000	15800000
chr17	15810000	16000000
chr17	16010000	16340000
chr17	16350000	16530000
chr17	16540000	16720000
chr17	16730000	16860000
chr17	16870000	17340000
chr17	17350000	17490000
chr17	17500000	17660000
chr17	17670000	18040000
chr17	18050000	18600000
chr17	18610000	18800000
chr17	18810000	19340000
chr17	19350000	19510000
chr17	19520000	19770000
chr17	19780000	19980000
chr17	19990000	20110000
chr17	20120000	20440000
chr17	20450000	20780000
chr17	20790000	21000000
chr17	21010000	21290000
chr17	21300000	21540000
chr17	27360000	27640000
chr17	27650000	27760000
chr17	27770000	27890000
chr17	27900000	28340000
chr17	28350000	28550000
chr17	28560000	28710000
chr17	28720000	28940000
chr17	28950000	29120000
chr17	29130000	29360000
chr17	29370000	29620000
chr17	29630000	29790000
chr17	29800000	30100000
chr17	30110000	30290000
chr17	30300000	30900000
chr17	30910000	31210000
chr17	31220000	31370000
chr17	31380000	31540000
chr17	31550000	31850000
chr17	31860000	32150000
chr17	32160000	32470000
chr17	32480000	32770000
chr17	32780000	32940000
chr17	32950000	33280000
chr17	33290000	33520000
chr17	33530000	33690000
chr17	33700000	33950000
chr17	33960000	34180000
chr17	34190000	34380000
chr17	34390000	34530000
chr17	34540000	34660000
chr17	34670000	34960000
chr17	34970000	35130000
chr17	35140000	35540000
chr17	35550000	35810000
chr17	35820000	35960000
chr17	35970000	36590000
chr17	36600000	36940000
chr17	36950000	37400000
chr17	37410000	37640000
chr17	37650000	38310000
chr17	38320000	38740000
chr17	38750000	38960000
chr17	38970000	39180000
chr17	39190000	39530000
chr17	39540000	39980000
chr17	39990000	40180000
chr17	40190000	40350000
chr17	40360000	40600000
chr17	40610000	40860000
chr17	40870000	41320000
chr17	41330000	41680000
chr17	41690000	42000000
chr17	42010000	42120000
chr17	42130000	42530000
chr17	42540000	42820000
chr17	42830000	42970000
chr17	42980000	43370000
chr17	43380000	43500000
chr17	43510000	43680000
chr17	43690000	43770000
chr17	43780000	44190000
chr17	44200000	44360000
chr17	44370000	44520000
chr17	44530000	44700000
chr17	44710000	44900000
chr17	44910000	45120000
chr17	45130000	45410000
chr17	45420000	45990000
chr17	46000000	46190000
chr17	46200000	47190000
chr17	47200000	47330000
chr17	47340000	47480000
chr17	47490000	47640000
chr17	47650000	47820000
chr17	47830000	48020000
chr17	48030000	48140000
chr17	48150000	48630000
chr17	48640000	48900000
chr17	48910000	49050000
chr17	49060000	49280000
chr17	49290000	49400000
chr17	49410000	49560000
chr17	49570000	49700000
chr17	49710000	49850000
chr17	49860000	50010000
chr17	50020000	50100000
chr17	50110000	50470000
chr17	50480000	50750000
chr17	50760000	50960000
chr17	50970000	51280000
chr17	51290000	51750000
chr17	51760000	52140000
chr17	52150000	52360000
chr17	52370000	53020000
chr17	53030000	54170000
chr17	54180000	54430000
chr17	54440000	54890000
chr17	54900000	55370000
chr17	55380000	55510000
chr17	55520000	55830000
chr17	55840000	56110000
chr17	56120000	56320000
chr17	56330000	56490000
chr17	56500000	56800000
chr17	56810000	56960000
chr17	56970000	57120000
chr17	57130000	57840000
chr17	57850000	57990000
chr17	58000000	58260000
chr17	58270000	58500000
chr17	58510000	58700000
chr17	58710000	59300000
chr17	59310000	59710000
chr17	59720000	59890000
chr17	59900000	60090000
chr17	60100000	60430000
chr17	60440000	60680000
chr17	60690000	60970000
chr17	60980000	61390000
chr17	61400000	61620000
chr17	61630000	61850000
chr17	61860000	62110000
chr17	62120000	62410000
chr17	62420000	62690000
chr17	62700000	62970000
chr17	62980000	63400000
chr17	63410000	63690000
chr17	63700000	63850000
chr17	63860000	64020000
chr17	64030000	64140000
chr17	64150000	64290000
chr17	64300000	64500000
chr17	64510000	64770000
chr17	64780000	65220000
chr17	65230000	65440000
chr17	65450000	65560000
chr17	65570000	65800000
chr17	65810000	65980000
chr17	65990000	66180000
chr17	66190000	66700000
chr17	66710000	67050000
chr17	67060000	67370000
chr17	67380000	67690000
chr17	67700000	68050000
chr17	68060000	68250000
chr17	68260000	68470000
chr17	68480000	68770000
chr17	68780000	69060000
chr17	69070000	69240000
chr17	69250000	69550000
chr17	69560000	70150000
chr17	70160000	70620000
chr17	70630000	70760000
chr17	70770000	70930000
chr17	70940000	71080000
chr17	71090000	71470000
chr17	71480000	72110000
chr17	72120000	72540000
chr17	72550000	72720000
chr17	72730000	72980000
chr17	72990000	73190000
chr17	73200000	73390000
chr17	73400000	73640000
chr17	73650000	73970000
