chrom	start	end
chr17	0	400000
chr17	410000	720000
chr17	730000	990000
chr17	1000000	1260000
chr17	1270000	1340000
chr17	1350000	1550000
chr17	1560000	1640000
chr17	1650000	1890000
chr17	1900000	2040000
chr17	2050000	2290000
chr17	2300000	2420000
chr17	2430000	2690000
chr17	2700000	2830000
chr17	2840000	3040000
chr17	3050000	3430000
chr17	3440000	3670000
chr17	3680000	3830000
chr17	3840000	3910000
chr17	3920000	4010000
chr17	4020000	4410000
chr17	4420000	4550000
chr17	4560000	4710000
chr17	4720000	4800000
chr17	4810000	4890000
chr17	4900000	4970000
chr17	4980000	5090000
chr17	5100000	5240000
chr17	5250000	5310000
chr17	5320000	5470000
chr17	5480000	5580000
chr17	5590000	5710000
chr17	5720000	6060000
chr17	6070000	6270000
chr17	6280000	6430000
chr17	6440000	6650000
chr17	6660000	6900000
chr17	6910000	7030000
chr17	7040000	7180000
chr17	7190000	7340000
chr17	7350000	7490000
chr17	7500000	7570000
chr17	7580000	7720000
chr17	7730000	7820000
chr17	7830000	7980000
chr17	7990000	8050000
chr17	8060000	8120000
chr17	8130000	8220000
chr17	8230000	8300000
chr17	8310000	8380000
chr17	8390000	8630000
chr17	8640000	8790000
chr17	8800000	8890000
chr17	8900000	8990000
chr17	9000000	9110000
chr17	9120000	9550000
chr17	9560000	9710000
chr17	9720000	9900000
chr17	9910000	9980000
chr17	9990000	10280000
chr17	10290000	10620000
chr17	10630000	10730000
chr17	10740000	10860000
chr17	10870000	11990000
chr17	12000000	12170000
chr17	12180000	12250000
chr17	12260000	12530000
chr17	12540000	12660000
chr17	12670000	12740000
chr17	12750000	13020000
chr17	13030000	13310000
chr17	13320000	13590000
chr17	13600000	14290000
chr17	14300000	14810000
chr17	14820000	14930000
chr17	14940000	15240000
chr17	15250000	15530000
chr17	15540000	15810000
chr17	15820000	16000000
chr17	16010000	16350000
chr17	16360000	16440000
chr17	16450000	16530000
chr17	16540000	16690000
chr17	16700000	16890000
chr17	16900000	16990000
chr17	17000000	17340000
chr17	17350000	17490000
chr17	17500000	17580000
chr17	17590000	17660000
chr17	17670000	17790000
chr17	17800000	18040000
chr17	18050000	18490000
chr17	18500000	18620000
chr17	18630000	18690000
chr17	18700000	18790000
chr17	18800000	19360000
chr17	19370000	19510000
chr17	19520000	19770000
chr17	19780000	19980000
chr17	19990000	20110000
chr17	20120000	20220000
chr17	20230000	20330000
chr17	20340000	20440000
chr17	20450000	20790000
chr17	20800000	20860000
chr17	20870000	21030000
chr17	21040000	21110000
