chrom	start	end	weight	E1	E2	E3
chr17	0	100000				
chr17	100000	200000	0.010943711799556116	0.3177954157010763	0.25524055385599104	-0.3852409633560645
chr17	200000	300000				
chr17	300000	400000	0.009043885177769726	0.2789145805551403	0.20709893284183045	-0.42934248782578566
chr17	400000	500000				
chr17	500000	600000	0.009042711938954315	0.45295122557997	0.19372409145886055	-0.2581015033135792
chr17	600000	700000	0.009883092202038396	0.5792828044575348	0.28355684567661743	-0.0745352299415915
chr17	700000	800000	0.006295647036868571	0.3865498848732234	-0.013495138877045282	-0.45595695309469025
chr17	800000	900000	0.00892579373582217	0.7855264081382888	-0.08800285827750134	0.03725137171134749
chr17	900000	1000000	0.007914762944014003	0.7617000987869081	-0.10259004393314711	-0.07688127427300498
chr17	1000000	1100000	0.00894495892272879	0.4362991534167198	-0.08472491123615807	-0.4391763658215858
chr17	1100000	1200000	0.007925809146793965	0.773363870917129	-0.12725767775701227	-0.13699986543695847
chr17	1200000	1300000	0.007569063628533838	0.6944019401144376	-0.1882820523447697	-0.17331438654178138
chr17	1300000	1400000	0.008122910266844223	0.9707946251992235	-0.2842661920698818	-0.018427366892354833
chr17	1400000	1500000	0.00710609521619242	0.934773437931178	-0.2594792990777288	0.00258272801662884
chr17	1500000	1600000	0.006548865229360242	0.7877961280820792	-0.2348733284659086	-0.3007176004631236
chr17	1600000	1700000	0.006823111066977551	0.8154284979651367	-0.2856549351183517	-0.2875745409830929
chr17	1700000	1800000	0.007615697683252395	0.9994872110005156	-0.27623123076840805	0.0008471347722533142
chr17	1800000	1900000	0.006547197376319605	0.6431560286088157	-0.27992589141803376	-0.32848317875881833
chr17	1900000	2000000	0.007397658242852297	0.8137162060661157	-0.19947998690998686	-0.13350437494961873
chr17	2000000	2100000	0.007040836898882378	0.531104068877943	-0.23208572590990317	-0.3702325162906694
chr17	2100000	2200000	0.007073348137707688	0.7471024084643547	-0.10264803910101156	-0.11276375838186373
chr17	2200000	2300000	0.005774101879499025	0.5076362975703134	-0.18917856565598218	-0.42263876448481286
chr17	2300000	2400000	0.006423191023790129	0.627098240684854	-0.15144931530101943	-0.36068129582915526
chr17	2400000	2500000	0.0065564505057552356	0.5148845534007179	-0.06933295906659143	-0.3805666776943883
chr17	2500000	2600000	0.006983927686669187	0.7658923191388401	-0.08421833418673193	0.053337026689804466
chr17	2600000	2700000	0.0076207434532197475	0.570688892662142	-0.09902126015319762	-0.2457262013644849
chr17	2700000	2800000	0.0055194148996133025	0.43635258771530105	0.02323722505697309	-0.3696430420537052
chr17	2800000	2900000	0.006602536998816902	0.5342980574737006	0.11629443377647362	-0.21956577312132536
chr17	2900000	3000000	0.007010345179217523	0.3761226831828346	0.1484707506573648	-0.3839589901690765
chr17	3000000	3100000	0.006769761259326302	-0.08874228971986682	0.21933811836455908	-0.86404214988611
chr17	3100000	3200000	0.008310062937955802	0.0596495367728991	0.34891999687799385	-0.30826750865623576
chr17	3200000	3300000	0.011416677635371832	0.1605830505577326	0.3610897759107839	-0.21101842436414633
chr17	3300000	3400000	0.009090253931602926	0.010085802137738803	0.36356306557486334	-0.448843467776809
chr17	3400000	3500000	0.0065693679532031245	0.1181399004574934	0.44580074261064884	-0.41837348224423415
chr17	3500000	3600000	0.006357694871925772	0.20004705636326173	0.3397428525218206	-0.44151548649512895
chr17	3600000	3700000	0.005724556248190941	0.3567138065790571	0.17867099595273098	-0.37813598253042935
chr17	3700000	3800000	0.006186702276590898	0.6173642606791966	0.09078678255885972	-0.16132036848927941
