chrom	start	end
chr17	0	750000
chr17	760000	1030000
chr17	1040000	1640000
chr17	1650000	2050000
chr17	2060000	2350000
chr17	2360000	2730000
chr17	2740000	3030000
chr17	3040000	3670000
chr17	3680000	5490000
chr17	5500000	6440000
chr17	6450000	7020000
chr17	7030000	7200000
chr17	7210000	7590000
chr17	7600000	8380000
chr17	8390000	8790000
chr17	8800000	9710000
chr17	9720000	10860000
chr17	10870000	11990000
chr17	12000000	13020000
chr17	13030000	14250000
chr17	14260000	15220000
chr17	15230000	15540000
chr17	15550000	16340000
chr17	16350000	16800000
chr17	16810000	17340000
chr17	17350000	18090000
chr17	18100000	19780000
chr17	19790000	20330000
chr17	20340000	21020000
chr17	27760000	28550000
chr17	28560000	28940000
chr17	28950000	29610000
chr17	29620000	30840000
chr17	30850000	31380000
chr17	31390000	31900000
chr17	31910000	32450000
chr17	32460000	32950000
chr17	32960000	33700000
chr17	33710000	34380000
chr17	34390000	35130000
chr17	35140000	35810000
chr17	35820000	37390000
chr17	37400000	38740000
chr17	38750000	39190000
chr17	39200000	40180000
chr17	40190000	40580000
chr17	40590000	41680000
chr17	41690000	42540000
chr17	42550000	43320000
chr17	43330000	43780000
chr17	43790000	44360000
chr17	44370000	44720000
chr17	44730000	45130000
chr17	45140000	47820000
chr17	47830000	48640000
chr17	48650000	48890000
chr17	48900000	50100000
chr17	50110000	50720000
chr17	50730000	51270000
chr17	51280000	52150000
chr17	52160000	53020000
chr17	53030000	54910000
chr17	54920000	55820000
chr17	55830000	56960000
chr17	56970000	57830000
chr17	57840000	58190000
chr17	58200000	58500000
chr17	58510000	59150000
chr17	59160000	60080000
chr17	60090000	60670000
chr17	60680000	61580000
chr17	61590000	62410000
chr17	62420000	63840000
chr17	63850000	65210000
chr17	65220000	66180000
chr17	66190000	67060000
chr17	67070000	67960000
chr17	67970000	68490000
chr17	68500000	69310000
chr17	69320000	70620000
chr17	70630000	72550000
chr17	72560000	73230000
chr17	73240000	74200000
chr17	74210000	74870000
chr17	74880000	75840000
chr17	75850000	76720000
chr17	76730000	77270000
chr17	77280000	78120000
chr17	78130000	78830000
chr17	78840000	79730000
chr17	79740000	80990000
chr17	81000000	81690000
chr17	81700000	83257441
